,PID,Label,Description,Relevant
883,P1235,ISFDB series ID,"identifier for a series, periodical or franchise in the Internet Speculative Fiction Database",no
884,P1236,Parsons code,identifier for melodic contours of music,no
885,P1237,Box Office Mojo film ID (former scheme),identifier for a movie at the website Box Office Mojo,yes
886,P1238,SvFF player ID,identifier for a Swedish association football (soccer) player's page at Svenskfotboll.se,yes
887,P1239,ISFDB publisher ID,identifier for a publisher in the Internet Speculative Fiction Database,no
888,P1241,Swiss Football Association club number,identifier,yes
889,P1242,Theatricalia play ID,"identifier for a theatrical work, in the Theatricalia database",yes
890,P1243,ISRC,international standard code for uniquely identifying sound recordings and music video recordings,yes
891,P1245,OmegaWiki Defined Meaning,"""Defined Meaning"" on the site",no
892,P1246,patent number,identifier for a patented invention,no
893,P1247,compression ratio,"compression ratio of a reciprocating combustion engine; for data compression, use P1107 with qualifiers",no
894,P1248,KulturNav-ID,"identifier for people, places, events, etc. used by some Nordic museums",yes
895,P1249,time of earliest written record,first time a subject was mentioned in writing,no
896,P1250,Danish Bibliometric Research Indicator (BFI) SNO/ CNO,serial & conference identifier,no
897,P1251,ABS ASCL 2011 code,Numerical language identifier in the Australian Standard Classification of Languages regulated by Australian Bureau of Statistics,no
898,P1252,AUSTLANG code,identifier for a language in the Australian Indigenous Languages Database,no
899,P1253,BCU Ecrivainsvd ID,identifier in the database of writers from the canton of Vaud,yes
900,P1254,Slovenska biografija ID,"identifier in the ""Slovenska biografija"" reference project",yes
901,P1255,HelveticArchives ID,identifier in the Swiss National Library's archive database,no
902,P1256,Iconclass notation,"Iconclass code that corresponds with an artistic theme or concept. For artworks, use P1257 (depicts Iconclass notation)",no
903,P1257,depicts Iconclass notation,"Iconclass code depicted in an artwork, for linking Iconclass codes with their corresponding artistic themes or concepts, use P1256 (Iconclass notation)",no
904,P1258,Rotten Tomatoes ID,identifier on Rotten Tomatoes,yes
905,P1259,coordinates of the point of view,"point from which the scene depicted by the element is seen  (element can be a photo, a painting, etc.)",no
906,P1260,Swedish Open Cultural Heritage URI,identifier,no
907,P1261,Scandinavian Runic-text Database ID,"database about runic inscriptions  (including runestones), mainly in Sweden, but stones in all of Europe, Greenland and U. S. can be found here",no
908,P1262,RAÄ number,Identificator for an element in the Database of the cultural heritage in Sweden,no
909,P1263,Notable Names Database,"identifier in the Notable Names Database, a biographical database: only for people entries",yes
910,P1264,valid in period,time period when a statement is valid,no
911,P1265,AlloCiné film ID,identifier for a film in the French AlloCiné database,no
912,P1266,AlloCiné person ID,identifier for a person on the AlloCiné film database,yes
913,P1267,AlloCiné series ID,identifier for a serie in the AlloCiné film database,no
914,P1268,represents,"organization, individual, or concept that an entity represents",no
915,P1269,facet of,topic of which this item is an aspect; item that offers a broader perspective on the same topic,no
916,P1270,Norwegian Register journal ID,identifier for academic journals,no
917,P1271,Norway Database for Statistics on Higher education publisher ID,identifier,no
918,P1272,Norway Import Service and Registration Authority periodical code,Wikidata property for authority control for academic journals,no
919,P1273,CANTIC ID (former scheme),"old identifier for authority control managed by the Library of Catalonia. Format: ""a"", 7 digits, ""x"" or digit. Replaced with ""CANTIC ID"" (P9984)",no
920,P1274,ISFDB title ID,identifier for a title in the Internet Speculative Fiction Database,no
921,P1275,Norway Import Service and Registration Authority publisher code,identifier,no
922,P1276,Dictionnaire du Jura ID,identifier in the encyclopedia Dictionnaire du Jura,no
923,P1277,JUFO ID,identifier in the Julkaisufoorumi (Finnish Publication Forum),no
924,P1278,Legal Entity Identifier,identifier for a legally distinct entity per ISO 17442,no
925,P1279,inflation rate,percent change in the consumer price index (CPI),no
926,P1280,CONOR.SI ID,"identifier\xa0in the National and University Library, Ljubljana database",no
927,P1281,WOEID,identifier for a location on Yahoo! GeoPlanet and Flickr,no
928,P1282,OpenStreetMap tag or key,"OpenStreetMap tagging schema for classes, properties, and values",no
929,P1283,filmography,List of films a person has contributed to,yes
930,P1284,Munzinger person ID,Identifier on the Munzinger Archiv,yes
931,P1285,Munzinger Sport number,Identifier on the Munzinger Archiv,yes
932,P1286,Munzinger Pop ID,Identifier on the Munzinger Archiv,yes
933,P1287,Komponisten der Gegenwart ID,Identifier on the Munzinger Archiv,yes
934,P1288,Kritisches Lexikon der Gegenwartsliteratur ID,Identifier on the Munzinger Archiv,yes
935,P1289,Kritisches Lexikon zur fremdsprachigen Gegenwartsliteratur ID,Identifier in critical dictionary of foreign contemporary literature,yes
936,P1290,godparent,Person who is the godparent of a given person,no
937,P1291,Association Authors of Switzerland ID (former scheme),Identifier in a Swiss database of modern writers,yes
938,P1292,DNB edition ID,identifier in the German National Library catalogue (see also authority data P227),yes
939,P1293,Royal Aero Club Aviator's Certificate ID,identifier,yes
940,P1294,WWF ecoregion code,identifier for ecoregions,no
941,P1295,emissivity,ability of a substance to radiate thermal energy from its surface,no
942,P1296,Gran Enciclopèdia Catalana ID (former scheme),"identifier for an item in the Gran Enciclopèedia Catalana. Replaced with ""Gran Enciclopèedia Catalana ID  (P12385)"".",yes
943,P1297,IRS Employer Identification Number,number given to businesses and charities by the United States Internal Revenue Service,no
944,P1299,depicted by,"object depicting this subject (object being creative works such as books, films, paintings)",yes
945,P1300,bibcode,bibcode for a journal,yes
946,P1301,number of elevators,number of elevators in a building,no
947,P1302,primary destinations,major towns and cities that a road serves,no
948,P1303,instrument,musical instrument that a person plays or teaches or used in a music occupation,yes
949,P1304,central bank,country's central bank,no
950,P1305,CTBUH Skyscraper Center building ID,identifier for a building as used on the CTBUH'www. skyscrapercenter. com,no
951,P1307,Swiss parliament ID,identifier for a member of the Swiss Parliament since 1848,yes
952,P1308,position holder,persons who hold and/or held the position,yes
953,P1309,EGAXA ID,identifier in Bibliotheca Alexandrina,no
954,P1310,statement disputed by,entity that disputes a given statement,no
955,P1311,lostbridges. org ID,identifier from database of covered bridges in the United States and Canada,no
956,P1312,has facet polytope,"facet of a polytope, in the next- lower dimension",no
957,P1313,office held by head of government,political office that is fulfilled by the head of the government of this item,yes
